SNP,region,count,Sample
A > C,N,1,B0
A > C,N,0,B1
A > C,ORF1ab,4,B0
A > C,ORF1ab,6,B1
A > C,S,2,B0
A > C,S,4,B1
A > G,M,1,B0
A > G,M,1,B1
A > G,N,6,B0
A > G,N,3,B1
A > G,ORF1ab,57,B0
A > G,ORF1ab,69,B1
A > G,ORF3a,2,B0
A > G,ORF3a,2,B1
A > G,S,17,B0
A > G,S,19,B1
A > T,M,1,B0
A > T,M,0,B1
A > T,N,1,B0
A > T,N,0,B1
A > T,ORF1ab,9,B0
A > T,ORF1ab,17,B1
A > T,ORF3a,1,B0
A > T,ORF3a,0,B1
A > T,S,7,B0
A > T,S,14,B1
C > A,M,0,B0
C > A,M,1,B1
C > A,ORF1ab,6,B0
C > A,ORF1ab,7,B1
C > A,ORF3a,1,B0
C > A,ORF3a,0,B1
C > A,S,3,B0
C > A,S,3,B1
C > G,M,1,B1
C > G,N,1,B0
C > G,S,2,B0
C > G,S,2,B1
C > T,M,3,B0
C > T,M,4,B1
C > T,N,8,B0
C > T,N,7,B1
C > T,ORF1ab,77,B0
C > T,ORF1ab,86,B1
C > T,ORF3a,6,B0
C > T,ORF3a,8,B1
C > T,S,21,B0
C > T,S,21,B1
G > A,M,2,B0
G > A,M,2,B1
G > A,N,1,B0
G > A,N,2,B1
G > A,ORF1ab,18,B0
G > A,ORF1ab,33,B1
G > A,ORF3a,0,B0
G > A,ORF3a,2,B1
G > A,S,5,B0
G > A,S,6,B1
G > C,M,0,B0
G > C,M,1,B1
G > C,ORF1ab,2,B0
G > C,ORF1ab,2,B1
G > C,S,1,B0
G > C,S,4,B1
G > T,M,1,B0
G > T,M,0,B1
G > T,ORF1ab,2,B0
G > T,ORF1ab,6,B1
G > T,S,2,B0
G > T,S,2,B1
G > T,ORF3a,0,B0
G > T,ORF3a,0,B1
G > T,N,0,B0
G > T,N,0,B1
T > A,M,1,B0
T > A,M,1,B1
T > A,N,0,B0
T > A,N,1,B1
T > A,ORF1ab,23,B0
T > A,ORF1ab,11,B1
T > A,ORF3a,0,B0
T > A,ORF3a,0,B1
T > A,S,9,B0
T > A,S,19,B1
T > C,M,3,B0
T > C,M,3,B1
T > C,N,5,B0
T > C,N,3,B1
T > C,ORF1ab,142,B0
T > C,ORF1ab,158,B1
T > C,ORF3a,3,B0
T > C,ORF3a,6,B1
T > C,S,42,B0
T > C,S,51,B1
T > G,M,0,B0
T > G,M,1,B1
T > G,N,1,B0
T > G,N,0,B1
T > G,ORF3a,0,B0
T > G,ORF3a,0,B1
T > G,ORF1ab,8,B0
T > G,ORF1ab,10,B1
T > G,S,2,B0
T > G,S,5,B1
A > C,M,0,B0
A > C,M,0,B1
A > C,ORF3a,0,B0
A > C,ORF3a,0,B1
C > A,N,0,B0
C > A,N,0,B1
C > G,M,0,B0
C > G,N,0,B1
C > G,ORF1ab,0,B0
C > G,ORF1ab,0,B1
C > G,ORF3a,0,B0
C > G,ORF3a,0,B1
G > C,N,0,B0
G > C,N,0,B1
G > C,ORF3a,0,B0
G > C,ORF3a,0,B1
